DOMAIN,SUPERGROUP,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,GENES,GENE ID,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_93938,5699725,https://www.ncbi.nlm.nih.gov/gene/5699725,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_14048,5698959,https://www.ncbi.nlm.nih.gov/gene/5698959,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_1104,5702976,https://www.ncbi.nlm.nih.gov/gene/5702976,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_13346,5702925,https://www.ncbi.nlm.nih.gov/gene/5702925,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_11118,5702259,https://www.ncbi.nlm.nih.gov/gene/5702259,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_16975,5701815,https://www.ncbi.nlm.nih.gov/gene/5701815,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_16453,5701142,https://www.ncbi.nlm.nih.gov/gene/5701142,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_40571,5700579,https://www.ncbi.nlm.nih.gov/gene/5700579,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_12091,5700210,https://www.ncbi.nlm.nih.gov/gene/5700210,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_3256,5699752,https://www.ncbi.nlm.nih.gov/gene/5699752,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_17333,5699393,https://www.ncbi.nlm.nih.gov/gene/5699393,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_17265,5699320,https://www.ncbi.nlm.nih.gov/gene/5699320,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_112103,5698640,https://www.ncbi.nlm.nih.gov/gene/5698640,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_15009,5697339,https://www.ncbi.nlm.nih.gov/gene/5697339,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_6430,5699649,https://www.ncbi.nlm.nih.gov/gene/5699649,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_27735,5699174,https://www.ncbi.nlm.nih.gov/gene/5699174,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_100955,5698500,https://www.ncbi.nlm.nih.gov/gene/5698500,
